paper_id,title,authors,year,journal,doi,search_source,screening_decision,exclusion_reason,pdf_obtained,extraction_status,extraction_date,notes
HYC-0013,Hydrogen uptake of reduced graphene oxide and graphene sheets decorated with Fe nanoclusters,"Hudson, M., Raghubanshi, H., Aswathi, S., Sadhasivam, T., Bhatnager, A., Simizu, S., Sankar, S. G., Srivastava, O. N.",2014,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2014.03.118,google_scholar:S2,include,,yes,not_started,,
HYC-0014,Enhanced Hydrogen Storage in Graphene Oxide-MWCNTs Composite at Room Temperature,"Aboutalebi, S., Aminorroaya-Yamini, S., Nevirkovets, I., Konstantinov, K., Liu, H.",2012,Advanced Energy Materials,10.1002/aenm.201200154,google_scholar:S2,include,,no,not_started,,
HYC-0015,Role of interlayer spacing and functional group on the hydrogen storage properties of graphene oxide and reduced graphene oxide,"Rajaura, R., Srivastava, S., Sharma, V., Sharma, P. K., Lal, C., Singh, M., Palsania, H. S., Vijay, Y. K.",2016,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.04.115,google_scholar:S2,include,,yes,not_started,,
HYC-0016,Hydrogen storage in bulk graphene-related materials,"Klechikov, A., Mercier, G., Merino, P., Blanco, S., Merino, C., Talyzin, A.",2015,Microporous and Mesoporous Materials,10.1016/j.micromeso.2015.02.017,google_scholar:S2,include,,yes,not_started,,
HYC-0017,Hydrogen adsorption behavior of graphene above critical temperature,"Ma, L., Wu, Z., Li, J., Wu, E., Ren, W., Cheng, H.",2009,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2008.12.079,google_scholar:S2,include,,yes,not_started,,
HYC-0018,Thermally exfoliated graphene oxide for hydrogen storage,"Singh, S., De, M.",2020,Materials Chemistry and Physics,10.1016/j.matchemphys.2019.122102,google_scholar:S2,include,,yes,not_started,,
HYC-0019,Effect of surface oxides on hydrogen storage of activated carbon,"Huang, C., Chen, H., Chen, C., Huang, J.",2010,Separation and Purification Technology,10.1016/j.seppur.2009.10.009,google_scholar:S3,include,,yes,not_started,,
HYC-0020,Medium-pressure hydrogen storage on activated carbon derived from biomass conversion,"Serafin, J., Dziejarski, B., Solis, C., de la Piscina, P., Homs, N.",2024,Fuel,10.1016/j.fuel.2024.130975,google_scholar:S3,include,,yes,not_started,,
HYC-0021,Activated carbon with optimum pore size distribution for hydrogen storage,"Sethia, G., Sayari, A.",2016,Carbon,10.1016/j.carbon.2015.12.032,google_scholar:S3,include,,yes,not_started,,
HYC-0022,High Hydrogen Storage Capacity of Porous Carbons Prepared by Using Activated Carbon,"Wang, H., Gao, Q., Hu, J.",2009,Journal of the American Chemical Society,10.1021/ja8083225,google_scholar:S3,include,,yes,not_started,,
HYC-0023,Importance of pore size in high-pressure hydrogen storage by porous carbons,"Gogotsi, Y., Portet, C., Osswald, S., Simmons, J., Yildirim, T., Laudisio, G., Fischer, J.",2009,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2009.05.073,google_scholar:S3,include,,yes,not_started,,
HYC-0024,Hydrogen Storage in Activated Carbons and Activated Carbon Fibers,"de la Casa-Lillo, M., Lamari-Darkrim, F., Cazorla-Amoros, D., Linares-Solano, A.",2002,The Journal of Physical Chemistry B,10.1021/jp014543m,google_scholar:S3,include,,yes,not_started,,
HYC-0025,Hydrogen storage in boron-doped carbon nanotubes: Effect of dopant concentration,"Sawant, S., Yadav, M., Banerjee, S., Patwardhan, A., Joshi, J., Dasgupta, K., ",2021,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2021.09.183,google_scholar:S4,include,,yes,not_started,,
HYC-0026,Hydrogen uptake of high surface area-activated carbons doped with nitrogen,"Zhao, W., Fierro, V., Fernandez-Huerta, N., Izquierdo, M. T., Celzard, W.",2013,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2013.06.048,google_scholar:S4,include,,yes,not_started,,
HYC-0027,Effect of Nitrogen Doping on Hydrogen Storage Capacity of Palladium Decorated Graphene,"Parambhath, V., Nagar, R., Ramaprabhu, S.",2012,Langmuir,10.1021/la301232r,google_scholar:S4,include,,yes,not_started,,
HYC-0028,Nitrogen-doped or boron-doped twin T-graphene as advanced and reversible hydrogen storage media,"Chen. F., Zhang, X., Guan, X., Gao, S., Hao, J., Li, L., Yuan, Y., Zhang, C., Chen, W., Lu, P.",2023,Applied Surface Science,10.1016/j.apsusc.2023.156895,google_scholar:S4,exclude,theoretical_only,no,not_started,,
HYC-0029,Enhancement of hydrogen spillover onto carbon nanotubes with defect feature,"Chen, C., Huang, C.",2008,Microporous and Mesoporous Materials,10.1016/j.micromeso.2007.06.003,google_scholar:S5,include,,yes,not_started,,
HYC-0030,Adsorption of Spillover Hydrogen Atoms on Single-Wall Carbon Nanotubes,"Yang, F., Lachawiev, A., Yang, R.",2006,The Journal of Physical Chemistry B,10.1021/jp056461u,google_scholar:S5,exclude,theoretical_only,no,not_started,,
